airline;airline_code;fleet;avg_age;full;part;total;Per
American Airlines;AA;995;10.8;95,595;12,178;107,773;78.52
Delta Air Lines;DL;932;15.8;79,502;10,929;90,431;85.78
Southwest Airlines;WN;760;11.2;58,517;2,240;60,757;79.41
United Air Lines;UA;755;15.1;78,882;11,664;90,546;79.62
JetBlue Airways;B6;243;10.2;16,498;5,148;21,646;70.85
