airline,airline_code,planes
American Airlines,AA,995
Delta Air Lines,DL,932
Southwest Airlines,WN,760
United Air Lines,UA,755
Virgin America,VX,65
SkyWest Airlines,OO,434
JetBlue Airways,B6,243
Hawaiian Airlines,HA,51
Envoy Air,MQ,198
Republic Airline,YX,190
ExpressJet Airlines,EV,183
Endeavor Air,9E,173
Alaska Airlines,AS,155
Mesa Airlines,YV,145
PSA Airlines,OH,123
Allegiant Air,G4,115
Spirit Air Lines,NK,112
Frontier Airlines,F9,78
